"";"date";"number of shootings"
"1";"2015-01-02";2
"2";"2015-01-03";1
"3";"2015-01-04";3
"4";"2015-01-05";1
"5";"2015-01-06";4
"6";"2015-01-07";4
"7";"2015-01-08";4
"8";"2015-01-09";2
"9";"2015-01-11";3
"10";"2015-01-13";2
"11";"2015-01-14";6
"12";"2015-01-15";5
"13";"2015-01-16";2
"14";"2015-01-17";3
"15";"2015-01-18";2
"16";"2015-01-19";1
"17";"2015-01-20";1
"18";"2015-01-21";4
"19";"2015-01-22";2
"20";"2015-01-23";3
"21";"2015-01-24";3
"22";"2015-01-25";1
"23";"2015-01-26";4
"24";"2015-01-27";4
"25";"2015-01-28";3
"26";"2015-01-29";2
"27";"2015-01-30";1
"28";"2015-01-31";2
"29";"2015-02-02";3
"30";"2015-02-03";4
"31";"2015-02-04";6
"32";"2015-02-05";1
"33";"2015-02-06";1
"34";"2015-02-07";2
"35";"2015-02-08";5
"36";"2015-02-09";2
"37";"2015-02-10";3
"38";"2015-02-11";2
"39";"2015-02-13";5
"40";"2015-02-14";2
"41";"2015-02-15";3
"42";"2015-02-16";3
"43";"2015-02-17";5
"44";"2015-02-18";1
"45";"2015-02-20";4
"46";"2015-02-21";2
"47";"2015-02-22";1
"48";"2015-02-23";6
"49";"2015-02-24";1
"50";"2015-02-25";2
"51";"2015-02-26";5
"52";"2015-02-27";1
"53";"2015-02-28";7
"54";"2015-03-01";3
"55";"2015-03-02";1
"56";"2015-03-03";2
"57";"2015-03-04";2
"58";"2015-03-05";3
"59";"2015-03-06";3
"60";"2015-03-07";1
"61";"2015-03-08";3
"62";"2015-03-09";4
"63";"2015-03-10";4
"64";"2015-03-11";7
"65";"2015-03-12";1
"66";"2015-03-13";4
"67";"2015-03-14";3
"68";"2015-03-15";1
"69";"2015-03-16";2
"70";"2015-03-17";5
"71";"2015-03-18";3
"72";"2015-03-19";6
"73";"2015-03-20";3
"74";"2015-03-21";4
"75";"2015-03-22";3
"76";"2015-03-23";1
"77";"2015-03-24";3
"78";"2015-03-25";4
"79";"2015-03-26";2
"80";"2015-03-27";7
"81";"2015-03-29";2
"82";"2015-03-30";1
"83";"2015-03-31";3
"84";"2015-04-01";2
"85";"2015-04-02";4
"86";"2015-04-03";1
"87";"2015-04-04";4
"88";"2015-04-05";2
"89";"2015-04-06";3
"90";"2015-04-07";1
"91";"2015-04-08";4
"92";"2015-04-09";4
"93";"2015-04-10";2
"94";"2015-04-11";1
"95";"2015-04-12";3
"96";"2015-04-13";1
"97";"2015-04-14";2
"98";"2015-04-15";6
"99";"2015-04-16";1
"100";"2015-04-17";3
"101";"2015-04-18";2
"102";"2015-04-19";2
"103";"2015-04-20";1
"104";"2015-04-21";4
"105";"2015-04-22";5
"106";"2015-04-23";3
"107";"2015-04-24";4
"108";"2015-04-25";3
"109";"2015-04-26";3
"110";"2015-04-27";1
"111";"2015-04-28";3
"112";"2015-04-29";6
"113";"2015-04-30";2
"114";"2015-05-02";1
"115";"2015-05-03";5
"116";"2015-05-04";1
"117";"2015-05-05";3
"118";"2015-05-06";1
"119";"2015-05-07";2
"120";"2015-05-08";4
"121";"2015-05-10";2
"122";"2015-05-11";2
"123";"2015-05-12";3
"124";"2015-05-14";2
"125";"2015-05-15";2
"126";"2015-05-16";1
"127";"2015-05-17";3
"128";"2015-05-19";3
"129";"2015-05-20";5
"130";"2015-05-21";5
"131";"2015-05-22";1
"132";"2015-05-23";3
"133";"2015-05-25";2
"134";"2015-05-26";3
"135";"2015-05-27";5
"136";"2015-05-28";4
"137";"2015-05-29";3
"138";"2015-05-30";2
"139";"2015-05-31";1
"140";"2015-06-01";1
"141";"2015-06-02";2
"142";"2015-06-03";5
"143";"2015-06-05";2
"144";"2015-06-06";5
"145";"2015-06-07";2
"146";"2015-06-08";2
"147";"2015-06-09";4
"148";"2015-06-10";1
"149";"2015-06-11";4
"150";"2015-06-12";1
"151";"2015-06-13";3
"152";"2015-06-14";2
"153";"2015-06-15";1
"154";"2015-06-16";2
"155";"2015-06-17";2
"156";"2015-06-18";1
"157";"2015-06-19";3
"158";"2015-06-20";1
"159";"2015-06-21";2
"160";"2015-06-22";4
"161";"2015-06-23";4
"162";"2015-06-24";1
"163";"2015-06-25";2
"164";"2015-06-26";2
"165";"2015-06-27";1
"166";"2015-06-28";1
"167";"2015-06-29";1
"168";"2015-06-30";1
"169";"2015-07-01";2
"170";"2015-07-02";3
"171";"2015-07-03";4
"172";"2015-07-04";4
"173";"2015-07-05";4
"174";"2015-07-06";5
"175";"2015-07-07";8
"176";"2015-07-08";2
"177";"2015-07-09";6
"178";"2015-07-10";3
"179";"2015-07-11";1
"180";"2015-07-12";5
"181";"2015-07-13";4
"182";"2015-07-14";1
"183";"2015-07-15";1
"184";"2015-07-16";7
"185";"2015-07-17";5
"186";"2015-07-18";3
"187";"2015-07-19";1
"188";"2015-07-20";1
"189";"2015-07-21";3
"190";"2015-07-22";3
"191";"2015-07-23";5
"192";"2015-07-24";2
"193";"2015-07-25";4
"194";"2015-07-26";2
"195";"2015-07-27";3
"196";"2015-07-29";2
"197";"2015-07-30";4
"198";"2015-07-31";2
"199";"2015-08-01";1
"200";"2015-08-02";1
"201";"2015-08-03";4
"202";"2015-08-04";2
"203";"2015-08-05";6
"204";"2015-08-06";2
"205";"2015-08-07";6
"206";"2015-08-08";3
"207";"2015-08-09";3
"208";"2015-08-10";1
"209";"2015-08-11";2
"210";"2015-08-12";6
"211";"2015-08-14";4
"212";"2015-08-15";4
"213";"2015-08-16";2
"214";"2015-08-17";2
"215";"2015-08-19";4
"216";"2015-08-20";3
"217";"2015-08-21";3
"218";"2015-08-22";5
"219";"2015-08-23";5
"220";"2015-08-25";5
"221";"2015-08-26";3
"222";"2015-08-27";4
"223";"2015-08-28";4
"224";"2015-08-29";3
"225";"2015-08-30";2
"226";"2015-08-31";1
"227";"2015-09-01";3
"228";"2015-09-02";1
"229";"2015-09-03";1
"230";"2015-09-04";5
"231";"2015-09-05";4
"232";"2015-09-06";3
"233";"2015-09-07";1
"234";"2015-09-08";1
"235";"2015-09-09";4
"236";"2015-09-10";4
"237";"2015-09-11";2
"238";"2015-09-12";2
"239";"2015-09-13";3
"240";"2015-09-14";2
"241";"2015-09-15";5
"242";"2015-09-16";1
"243";"2015-09-17";2
